time,value,peak
0.00,311,0
0.02,317,0
0.04,323,0
0.06,327,0
0.08,330,0
0.10,322,0
0.12,323,0
0.14,316,0
0.16,312,0
0.18,305,0
0.20,313,0
0.22,315,0
0.24,317,0
0.26,326,0
0.28,332,0
0.30,343,0
0.32,349,0
0.34,348,0
0.36,352,0
0.38,361,0
0.40,362,0
0.42,361,0
0.44,361,0
0.46,359,0
0.48,352,0
0.50,358,0
0.52,359,0
0.54,353,0
0.56,367,0
0.58,396,0
0.60,439,0
0.62,489,0
0.64,536,0
0.66,560,0
0.68,544,0
0.70,515,0
0.72,474,0
0.74,426,0
0.76,391,0
0.78,358,0
0.80,343,0
0.82,319,0
0.84,302,0
0.86,300,0
0.88,304,0
0.90,314,0
0.92,330,0
0.94,346,0
0.96,351,0
0.98,349,0
1.00,356,0
1.02,341,0
1.04,337,0
1.06,334,0
1.08,324,0
1.10,327,0
1.12,319,0
1.14,320,0
1.16,330,0
1.18,339,0
1.20,339,0
1.22,352,0
1.24,349,0
1.26,357,0
1.28,359,0
1.30,360,0
1.32,369,0
1.34,371,0
1.36,371,0
1.38,366,0
1.40,365,0
1.42,360,0
1.44,360,0
1.46,358,0
1.48,371,0
1.50,407,0
1.52,462,0
1.54,523,0
1.56,576,0
1.58,597,0
1.60,580,0
1.62,538,0
1.64,486,0
1.66,428,0
1.68,392,0
1.70,360,0
1.72,335,0
1.74,324,0
1.76,307,0
1.78,290,0
1.80,291,0
1.82,294,0
1.84,305,0
1.86,314,0
1.88,322,0
1.90,327,0
1.92,325,0
1.94,324,0
1.96,318,0
1.98,312,0
2.00,305,0
2.02,300,0
2.04,297,0
2.06,304,0
2.08,309,0
2.10,314,0
2.12,329,0
2.14,331,0
2.16,334,0
2.18,341,0
2.20,343,0
2.22,348,0
2.24,351,0
2.26,351,0
2.28,352,0
2.30,358,0
2.32,352,0
2.34,349,0
2.36,352,0
2.38,353,0
2.40,355,0
2.42,350,0
2.44,361,0
2.46,393,0
2.48,447,0
2.50,525,0
2.52,576,0
2.54,602,1
2.56,579,0
2.58,536,0
2.60,476,0
2.62,418,0
2.64,369,0
2.66,344,0
2.68,330,0
2.70,322,0
2.72,308,0
2.74,294,0
2.76,296,0
2.78,291,0
2.80,300,0
2.82,304,0
2.84,318,0
2.86,323,0
2.88,324,0
2.90,325,0
2.92,323,0
2.94,317,0
2.96,317,0
2.98,315,0
3.00,317,0
3.02,322,0
3.04,334,0
3.06,342,0
3.08,348,0
3.10,349,0
3.12,361,0
3.14,366,0
3.16,369,0
3.18,375,0
3.20,374,0
3.22,371,0
3.24,366,0
3.26,361,0
3.28,353,0
3.30,352,0
3.32,355,0
3.34,350,0
3.36,353,0
3.38,358,0
3.40,374,0
3.42,414,0
3.44,459,0
3.46,498,0
3.48,536,0
3.50,539,0
3.52,532,0
3.70,316,0
3.72,315,0
3.75,331,0
3.77,337,0
3.79,356,0
3.81,357,0
3.83,359,0
3.85,353,0
3.87,345,0
3.88,334,0
3.90,331,0
3.92,325,0
3.94,316,0
3.96,315,0
3.98,324,0
4.00,324,0
4.03,327,0
4.04,331,0
4.07,340,0
4.08,339,0
4.11,348,0
4.12,353,0
4.14,354,0
4.16,356,0
4.18,353,0
4.20,354,0
4.22,354,0
4.25,366,0
4.26,392,0
4.29,437,0
4.30,485,0
4.33,527,0
4.34,547,0
4.37,547,0
4.38,520,0
4.41,485,0
4.42,442,0
4.45,401,0
4.46,373,0
4.49,354,0
4.50,329,0
4.53,324,0
4.54,310,0
4.57,300,0
4.58,306,0
4.61,313,0
4.62,324,0
4.64,334,0
4.66,339,0
4.68,339,0
4.70,339,0
4.72,332,0
4.75,324,0
4.76,318,0
4.79,313,0
4.80,315,0
4.83,311,0
4.84,320,0
4.87,322,0
4.88,323,0
4.91,335,0
4.92,338,0
4.95,347,0
4.96,348,0
4.99,351,0
5.00,351,0

