time,value,peak
0.00,331,0
0.02,331,0
0.04,321,0
0.06,321,0
0.08,330,0
0.10,332,0
0.12,333,0
0.14,341,0
0.16,344,0
0.18,347,0
0.20,350,0
0.22,359,0
0.24,357,0
0.26,362,0
0.28,369,0
0.30,363,0
0.32,365,0
0.34,363,0
0.36,356,0
0.38,354,0
0.40,356,0
0.42,370,0
0.44,400,0
0.46,455,0
0.48,509,0
0.50,539,0
0.52,559,1
0.54,536,0
0.56,511,0
0.58,470,0
0.60,425,0
0.62,386,0
0.64,361,0
0.66,345,0
0.68,333,0
0.70,322,0
0.72,309,0
0.74,310,0
0.76,310,0
0.78,309,0
0.80,323,0
0.82,325,0
0.84,329,0
0.86,332,0
0.88,321,0
0.90,324,0
0.92,318,0
0.94,322,0
0.96,319,0
0.98,316,0
1.00,320,0
1.02,323,0
1.04,328,0
1.06,333,0
1.08,338,0
1.10,345,0
1.12,344,0
1.14,349,0
1.16,348,0
1.18,353,0
1.20,357,0
1.22,359,0
1.24,354,0
1.26,354,0
1.28,353,0
1.30,352,0
1.32,357,0
1.34,350,0
1.36,365,0
1.38,394,0
1.40,436,0
1.47,544,0
1.50,516,0
1.51,478,0
1.53,437,0
1.55,399,0
1.57,366,0
1.59,348,0
1.61,333,0
1.63,324,0
1.65,311,0
1.67,307,0
1.70,309,0
1.71,321,0
1.74,325,0
1.75,335,0
1.77,343,0
1.79,338,0
1.81,342,0
1.83,334,0
1.85,330,0
1.87,326,0
1.90,323,0
1.91,330,0
1.93,327,0
1.95,329,0
1.98,330,0
2.00,340,0
2.02,348,0
2.04,350,0
2.06,358,0
2.08,361,0
2.10,364,0
2.12,369,0
2.13,370,0
2.15,363,0
2.17,364,0
2.19,366,0
2.21,368,0
2.23,379,0
2.25,410,0
2.27,452,0
2.29,493,0
2.31,527,0
2.33,535,0
2.35,523,0
2.37,490,0
2.39,442,0
2.41,407,0
2.43,376,0
2.45,352,0
2.47,342,0
2.50,322,0
2.52,309,0
2.54,306,0
2.56,306,0
2.58,311,0
2.60,325,0
2.62,334,0
2.63,335,0
2.65,348,0
2.67,342,0
2.69,343,0
2.71,337,0
2.73,325,0
2.75,326,0
2.77,327,0
2.79,321,0
2.81,328,0
2.83,329,0
2.85,335,0
2.87,342,0
2.90,341,0
2.91,351,0
2.93,346,0
2.95,358,0
2.98,355,0
3.00,359,0
3.02,359,0
3.04,365,0
3.06,363,0
3.08,362,0
3.10,355,0
3.12,359,0
3.13,365,0
3.15,385,0
3.17,436,0
3.19,498,0
3.21,545,0
3.23,566,1
3.25,565,0
3.27,531,0
3.29,496,0
3.31,452,0
3.33,406,0
3.43,315,0
3.45,307,0
3.47,299,0
3.49,299,0
3.51,310,0
3.53,315,0
3.55,321,0
3.57,326,0
3.59,322,0
3.61,317,0
3.63,324,0
3.65,318,0
3.67,313,0
3.69,314,0
3.71,317,0
3.73,316,0
3.75,318,0
3.77,328,0
3.79,332,0
3.81,338,0
3.83,342,0
3.85,345,0
3.87,347,0
3.89,354,0
3.91,352,0
3.93,351,0
3.95,353,0
3.97,354,0
3.99,355,0
4.01,360,0
4.03,350,0
4.05,359,0
4.07,353,0
4.09,361,0
4.11,390,0
4.13,447,0
4.15,503,0
4.17,551,0
4.19,568,0
4.21,572,1
4.23,536,0
4.25,496,0
4.27,447,0
4.29,404,0
4.31,374,0
4.33,350,0
4.35,339,0
4.37,325,0
4.39,314,0
4.41,301,0
4.43,296,0
4.45,306,0
4.47,308,0
4.49,314,0
4.51,322,0
4.53,328,0
4.55,324,0
4.57,321,0
4.59,317,0
4.61,319,0
4.63,320,0
4.65,317,0
4.67,313,0
4.69,320,0
4.71,323,0
4.73,327,0
4.75,331,0
4.77,338,0
4.79,340,0
4.81,345,0
4.83,348,0
4.85,355,0
4.87,357,0
4.89,358,0
4.91,361,0
4.93,357,0
4.95,364,0
4.97,358,0
4.99,357,0
5.01,359,0
5.03,355,0
5.05,363,0
5.07,382,0
5.09,422,0
