time,value,peak
0.00,325,0
0.02,340,0
0.04,348,0
0.06,351,0
0.08,354,0
0.10,349,0
0.12,337,0
0.14,328,0
0.16,325,0
0.18,321,0
0.20,317,0
0.22,323,0
0.24,328,0
0.26,333,0
0.28,336,0
0.30,348,0
0.32,352,0
0.34,359,0
0.36,363,0
0.38,358,0
0.40,364,0
0.42,367,0
0.44,370,0
0.46,364,0
0.48,363,0
0.50,362,0
0.52,355,0
0.54,355,0
0.56,366,0
0.58,385,0
0.60,442,0
0.62,512,0
0.64,567,0
0.66,597,1
0.68,594,0
0.70,556,0
0.72,509,0
0.76,411,0
0.78,370,0
0.80,351,0
0.82,332,0
0.84,314,0
0.86,301,0
0.88,289,0
0.90,287,0
0.92,296,0
0.94,307,0
0.96,317,0
0.98,325,0
1.00,322,0
1.02,324,0
1.04,319,0
1.06,308,0
1.08,303,0
1.10,298,0
1.12,299,0
1.14,299,0
1.16,308,0
1.18,309,0
1.20,320,0
1.22,321,0
1.24,332,0
1.26,333,0
1.28,342,0
1.30,348,0
1.32,353,0
1.34,350,0
1.36,355,0
1.38,351,0
1.40,354,0
1.42,353,0
1.44,348,0
1.46,350,0
1.48,344,0
1.50,348,0
1.52,351,0
1.54,371,0
1.56,416,0
1.58,484,0
1.60,544,0
1.62,585,0
1.64,586,1
1.66,559,0
1.68,504,0
1.70,446,0
1.75,344,0
1.77,327,0
1.79,319,0
1.81,308,0
1.83,296,0
1.85,295,0
1.87,293,0
1.89,300,0
1.91,307,0
1.93,320,0
1.95,320,0
1.97,326,0
1.99,322,0
2.01,318,0
2.03,319,0
2.05,316,0
2.07,309,0
2.09,318,0
2.11,319,0
2.13,330,0
2.15,340,0
2.17,350,0
2.19,353,0
2.21,356,0
2.23,368,0
2.25,367,0
2.27,368,0
2.29,366,0
2.31,371,0
2.33,362,0
2.35,364,0
2.37,359,0
2.39,350,0
2.41,352,0
2.43,346,0
2.45,350,0
2.47,355,0
2.49,377,0
2.51,409,0
2.53,459,0
2.55,507,0
2.57,536,1
2.59,536,1
2.61,530,0
2.63,501,0
2.67,403,0
2.69,379,0
2.71,351,0
2.73,340,0
2.75,326,0
2.77,314,0
2.79,311,0
2.81,321,0
2.83,325,0
2.85,339,0
2.87,347,0
2.90,354,0
2.91,356,0
2.93,348,0
2.95,343,0
2.98,333,0
3.00,325,0
3.02,323,0
3.04,314,0
3.06,316,0
3.08,323,0
3.10,320,0
3.12,329,0
3.13,335,0
3.15,338,0
3.17,347,0
3.19,355,0
3.21,351,0
3.23,353,0
3.25,353,0
3.27,348,0
3.29,346,0
3.31,357,0
3.33,365,0
3.35,393,0
3.37,437,0
3.39,482,0
3.41,532,0
3.43,552,1
3.45,548,0
3.47,520,0
3.50,473,0
3.54,385,0
3.56,360,0
3.58,345,0
3.60,328,0
3.62,316,0
3.64,302,0
3.66,302,0
3.68,305,0
3.70,312,0
3.72,323,0
3.74,329,0
3.76,333,0
3.78,339,0
3.80,328,0
3.82,330,0
3.84,319,0
3.86,318,0
3.88,307,0
3.90,309,0
3.92,315,0
3.94,321,0
3.96,324,0
3.98,328,0
4.00,333,0
4.02,340,0
4.04,347,0
4.06,349,0
4.08,355,0
4.10,351,0
4.12,353,0
4.14,359,0
4.16,348,0
4.18,355,0
4.20,353,0
4.22,351,0
4.24,358,0
4.26,369,0
4.28,400,0
4.30,449,0
4.32,515,0
4.34,560,0
4.36,575,1
4.38,568,0
4.40,536,0
4.42,490,0
4.46,384,0
4.48,368,0
4.50,352,0
4.52,338,0
4.54,320,0
4.56,306,0
4.58,300,0
4.60,301,0
4.62,303,0
4.64,311,0
4.66,318,0
4.68,319,0
4.70,321,0
4.72,317,0
4.74,319,0
4.76,312,0
4.78,313,0
4.80,313,0
4.82,311,0
4.84,319,0
4.86,322,0
4.88,328,0
4.90,333,0
4.92,333,0
4.94,336,0
4.96,340,0
4.98,351,0
5.00,353,0

