time,value,peak
0.00,741,0
0.02,684,0
0.04,563,0
0.06,414,0
0.08,337,0
0.10,278,0
0.12,232,0
0.14,210,0
0.16,181,0
0.18,200,0
0.20,222,0
0.22,224,0
0.24,215,0
0.26,198,0
0.28,171,0
0.30,170,0
0.32,162,0
0.34,157,0
0.36,167,0
0.38,228,0
0.40,413,0
0.42,581,0
0.44,633,0
0.46,679,0
0.48,526,0
0.50,580,0
0.52,533,0
0.54,587,0
0.56,552,0
0.58,468,0
0.60,433,0
0.62,396,0
0.64,364,0
0.66,347,0
0.68,306,0
0.70,320,0
0.72,305,0
0.74,274,0
0.76,259,0
0.78,220,0
0.80,216,0
0.82,180,0
0.84,149,0
0.86,135,0
0.88,119,0
0.90,227,0
0.92,388,0
0.94,526,0
0.96,654,0
0.98,711,0
1.00,740,0
1.02,740,0
1.04,721,0
1.06,689,0
1.08,586,0
1.10,499,0
1.12,438,0
1.14,383,0
1.16,356,0
1.18,338,0
1.20,322,0
1.22,322,0
1.24,298,0
1.26,251,0
1.28,87,0
1.30,23,0
1.32,18,0
1.34,19,0
1.36,22,0
1.38,19,0
1.40,20,0
1.42,20,0
1.44,18,0
1.46,17,0
1.48,79,0
1.50,168,0
1.52,257,0
1.54,296,0
1.56,302,0
1.58,284,0
1.60,224,0
1.62,209,0
1.64,160,0
1.66,95,0
1.68,57,0
1.70,29,0
1.72,76,0
1.74,109,0
1.76,105,0
1.78,74,0
1.80,19,0
1.82,17,0
1.84,17,0
1.86,17,0
1.88,18,0
1.90,18,0
1.92,17,0
1.94,16,0
1.96,83,0
1.98,250,0
2.00,387,0
2.02,516,0
2.04,619,0
2.06,673,0
2.08,690,0
2.10,677,0
2.12,610,0
2.14,557,0
2.16,436,0
2.18,279,0
2.20,313,0
2.22,293,0
2.24,307,0
2.26,318,0
2.28,319,0
2.30,312,0
2.32,277,0
2.34,284,0
2.36,269,0
2.38,243,0
2.40,214,0
2.42,147,0
2.44,138,0
2.46,145,0
2.48,230,0
2.50,352,0
2.52,424,0
2.54,501,0
2.56,514,0
2.58,478,0
2.60,423,0
2.62,324,0
2.64,270,0
2.66,189,0
2.68,98,0
2.70,41,0
2.72,17,0
2.74,35,0
2.76,95,0
2.78,97,0
2.80,124,0
2.82,116,0
2.84,138,0
2.86,161,0
2.88,159,0
2.90,126,0
2.92,69,0
2.94,17,0
2.96,18,0
2.98,72,0
3.00,215,0
3.02,366,0
3.04,462,0
3.06,567,0
3.08,615,0
3.10,611,0
3.12,554,0
3.14,433,0
3.16,323,0
3.18,192,0
3.20,83,0
3.22,18,0
3.24,18,0
3.26,17,0
3.28,18,0
3.30,18,0
3.32,18,0
3.34,16,0
3.36,17,0
3.38,28,0
3.40,35,0
3.42,18,0
3.44,18,0
3.46,17,0
3.48,18,0
3.50,87,0
3.52,274,0
3.54,428,0
3.56,601,0
3.58,720,0
3.60,740,0
3.62,743,1
3.64,703,0
3.66,657,0
3.68,569,0
3.70,446,0
3.72,390,0
3.74,312,0
3.76,278,0
3.78,270,0
3.80,271,0
3.82,278,0
3.84,268,0
3.86,252,0
3.88,253,0
3.90,239,0
3.92,223,0
3.94,195,0
3.96,146,0
3.98,128,0
4.00,96,0
4.02,74,0
4.04,93,0
4.06,174,0
4.08,348,0
4.10,504,0
4.12,614,0
4.33,31,0
4.35,133,0
4.37,154,0
4.39,170,0
4.41,166,0
4.43,153,0
4.45,139,0
4.47,96,0
4.49,82,0
4.51,44,0
4.53,16,0
4.55,18,0
4.57,18,0
4.59,17,0
4.61,43,0
4.63,203,0
4.65,397,0
4.67,555,0
4.69,733,0
4.71,740,1
4.73,740,1
4.75,720,0
4.77,589,0
4.79,502,0
4.81,370,0
4.83,168,0
4.85,24,0
4.87,19,0
4.89,19,0
4.91,19,0
4.93,19,0
4.95,20,0
4.97,19,0
4.99,18,0
5.01,18,0
5.03,18,0
5.05,18,0
5.07,18,0
5.09,17,0
5.11,18,0
5.13,21,0
5.15,18,0
5.17,18,0
5.19,130,0
5.21,344,0
5.23,513,0
5.28,714,0
5.30,741,1
5.32,738,0
5.34,690,0
5.36,598,0
5.38,461,0
5.40,354,0
5.42,311,0
5.44,293,0
5.46,286,0
5.48,280,0
5.50,251,0
5.52,287,0
5.54,310,0
5.56,316,0
5.58,300,0
5.60,247,0
5.62,237,0
5.64,212,0
