time,value,peak
5.66,172,0
5.68,128,0
5.70,65,0
5.72,100,0
5.74,201,0
5.76,350,0
5.78,501,0
5.80,614,0
5.82,678,1
5.84,678,1
5.86,643,0
5.88,591,0
5.90,486,0
5.92,426,0
5.94,345,0
5.96,266,0
5.98,202,0
6.00,135,0
6.02,142,0
6.04,142,0
6.06,122,0
6.08,87,0
6.10,20,0
6.12,16,0
6.14,18,0
6.16,18,0
6.18,18,0
6.20,19,0
6.22,19,0
6.24,20,0
6.26,20,0
6.28,19,0
6.30,20,0
6.32,16,0
6.34,198,0
6.36,374,0
6.38,496,0
6.41,547,0
6.43,580,1
6.45,575,0
6.47,462,0
6.49,300,0
6.51,185,0
6.53,270,0
6.55,188,0
6.57,111,0
6.59,215,0
6.61,254,0
6.63,289,0
6.65,280,0
6.67,254,0
6.69,225,0
6.71,162,0
6.73,145,0
6.75,110,0
6.77,67,0
6.79,25,0
6.81,18,0
6.83,18,0
6.85,18,0
6.87,17,0
6.89,143,0
6.91,284,0
6.93,405,0
6.95,477,0
6.97,488,0
6.99,448,0
7.01,375,0
7.03,263,0
7.05,181,0
7.07,78,0
7.09,18,0
7.11,18,0
7.13,20,0
7.15,19,0
7.17,17,0
7.19,16,0
7.21,35,0
7.23,33,0
7.25,72,0
7.27,88,0
7.29,95,0
7.31,83,0
7.33,27,0
7.35,77,0
7.37,85,0
7.39,80,0
7.41,67,0
7.43,35,0
7.45,163,0
7.47,379,0
7.49,556,0
7.55,572,0
7.57,504,0
7.59,408,0
7.61,310,0
7.63,192,0
7.65,100,0
7.67,34,0
7.69,17,0
7.71,17,0
7.73,18,0
7.75,55,0
7.77,97,0
7.79,165,0
7.81,197,0
7.83,203,0
7.85,177,0
7.87,186,0
7.89,170,0
7.91,150,0
7.93,93,0
7.95,17,0
7.97,74,0
7.99,111,0
8.01,131,0
8.03,204,0
8.05,374,0
8.07,612,0
8.09,741,1
8.11,741,1
8.13,728,0
8.15,618,0
8.17,530,0
8.19,428,0
8.21,289,0
8.23,177,0
8.25,102,0
8.27,99,0
8.29,108,0
8.31,91,0
8.33,134,0
8.35,142,0
8.37,184,0
8.39,213,0
8.41,224,0
8.43,232,0
8.45,218,0
8.47,213,0
8.49,226,0
8.51,228,0
8.53,224,0
8.55,220,0
8.57,235,0
8.59,422,0
8.61,679,0
8.66,740,0
8.68,741,1
8.70,711,0
8.72,607,0
8.74,489,0
8.76,342,0
8.78,270,0
8.80,221,0
8.82,199,0
8.84,207,0
8.86,201,0
8.88,251,0
8.90,266,0
8.92,257,0
8.94,240,0
8.96,187,0
8.98,184,0
9.00,175,0
9.02,164,0
9.04,151,0
9.06,113,0
9.08,117,0
9.10,212,0
9.12,418,0
9.14,615,0
9.16,685,0
9.19,645,0
9.21,543,0
9.23,415,0
9.25,297,0
9.27,167,0
9.29,97,0
9.31,43,0
9.33,17,0
9.35,17,0
9.37,18,0
9.39,17,0
9.41,55,0
9.43,132,0
9.45,214,0
9.47,284,0
9.49,354,0
9.51,408,0
9.53,420,0
9.55,402,0
9.57,360,0
9.59,284,0
9.61,239,0
9.63,239,0
9.65,360,0
9.67,503,0
9.69,563,0
9.71,603,0
9.73,586,0
9.75,531,0
9.77,451,0
9.79,318,0
9.81,226,0
9.83,127,0
9.85,58,0
9.87,20,0
9.89,17,0
9.91,33,0
9.93,73,0
9.95,106,0
9.97,130,0
9.99,109,0
