time,value,peak
0.00,316,0
0.02,312,0
0.04,319,0
0.06,321,0
0.08,330,0
0.10,334,0
0.12,334,0
0.14,346,0
0.16,347,0
0.18,353,0
0.20,353,0
0.22,348,0
0.24,354,0
0.26,350,0
0.28,354,0
0.30,352,0
0.32,353,0
0.34,356,0
0.36,350,0
0.38,359,0
0.40,369,0
0.42,415,0
0.44,479,0
0.46,532,0
0.48,566,0
0.50,578,1
0.52,561,0
0.54,509,0
0.56,473,0
0.58,422,0
0.60,383,0
0.63,352,0
0.65,335,0
0.67,327,0
0.69,313,0
0.71,299,0
0.73,301,0
0.75,302,0
0.77,313,0
0.79,314,0
0.81,324,0
0.83,323,0
0.85,324,0
0.87,322,0
0.89,316,0
0.91,319,0
0.93,315,0
0.95,317,0
0.97,316,0
0.99,316,0
1.01,326,0
1.03,331,0
1.05,329,0
1.07,340,0
1.09,347,0
1.11,350,0
1.13,354,0
1.15,350,0
1.17,356,0
1.19,355,0
1.21,358,0
1.23,364,1
1.25,358,0
1.27,359,0
1.29,355,0
1.31,354,0
1.33,359,0
1.37,382,0
1.39,427,0
1.41,480,0
1.43,539,0
1.45,568,1
1.47,566,0
1.49,544,0
1.51,498,0
1.53,454,0
1.55,406,0
1.56,383,0
1.58,357,0
1.60,346,0
1.62,328,0
1.64,318,0
1.66,303,0
1.68,303,0
1.70,305,0
1.72,309,0
1.74,326,0
1.76,327,0
1.78,334,0
1.80,334,0
1.82,328,0
1.84,330,0
1.86,318,0
1.88,311,0
1.90,308,0
1.92,311,0
1.94,310,0
1.96,311,0
1.98,319,0
2.00,323,0
2.02,332,0
2.04,340,0
2.06,341,0
2.08,351,0
2.10,349,0
2.12,351,0
2.14,356,0
2.16,353,0
2.18,358,0
2.20,353,0
2.22,347,0
2.24,354,0
2.26,349,0
2.28,352,0
2.30,357,0
2.32,371,0
2.34,406,0
2.36,460,0
2.38,502,0
2.40,539,0
2.42,544,1
2.44,521,0
2.46,493,0
2.48,443,0
2.50,403,0
2.52,368,0
2.57,318,0
2.59,306,0
2.61,298,0
2.63,304,0
2.65,314,0
2.67,326,0
2.69,343,0
2.71,348,0
2.73,356,0
2.75,356,0
2.77,347,0
2.79,348,0
2.81,338,0
2.83,330,0
2.85,333,0
2.87,330,0
2.89,333,0
2.91,339,0
2.93,340,0
2.95,344,0
2.97,353,0
2.99,352,0
3.01,366,0
3.03,368,0
3.05,365,0
3.07,369,1
3.09,366,0
3.11,363,0
3.13,362,0
3.15,358,0
3.17,354,0
3.20,360,0
3.22,380,0
3.24,431,0
3.26,480,0
3.28,517,0
3.30,548,1
3.32,535,0
3.34,507,0
3.36,472,0
3.38,419,0
3.40,377,0
3.41,358,0
3.43,332,0
3.45,320,0
3.47,306,0
3.49,289,0
3.51,290,0
3.53,292,0
3.55,306,0
3.57,323,0
3.59,336,0
3.61,349,0
3.63,347,0
3.65,351,0
3.67,345,0
3.69,336,0
3.71,333,0
3.73,321,0
3.75,326,0
3.77,325,0
3.79,323,0
3.81,333,0
3.83,331,0
3.85,342,0
3.87,345,0
3.89,352,0
3.91,354,0
3.93,353,0
3.95,362,0
3.97,361,0
3.99,363,0
4.01,364,1
4.03,361,0
4.05,364,1
4.07,356,0
4.09,359,0
4.11,354,0
4.15,373,0
4.17,403,0
4.19,464,0
4.21,519,0
4.23,564,0
4.25,579,1
4.27,570,0
4.29,531,0
4.31,478,0
4.33,436,0
4.35,386,0
4.36,367,0
4.38,354,0
4.40,334,0
4.42,317,0
4.44,303,0
4.46,298,0
4.48,300,0
4.50,297,0
4.52,311,0
4.54,315,0
4.56,325,0
4.58,329,0
4.60,327,0
4.62,330,0
4.64,322,0
4.66,318,0
4.68,318,0
4.70,306,0
4.72,313,0
4.74,313,0
4.76,317,0
4.78,322,0
4.80,327,0
4.82,336,0
4.84,340,0
4.86,343,0
4.88,347,0
4.90,349,0
4.92,351,0
4.94,351,0
4.96,353,0
4.98,355,0
5.00,357,0
