Timestamp,Port,OutputFile
2025-10-28 18:36:55.142,/dev/tty.usbmodem34B7DA61F2202,b2_026_top500_down4
2025-10-28 18:38:04.891,/dev/tty.usbmodem34B7DA61F2202,b2_026_top500_down4
2025-10-28 18:40:52.212,/dev/tty.usbmodem34B7DA61F2202,b2_026_top500_down4
2025-10-28 18:45:53.634,/dev/tty.usbmodem34B7DA61F2202,b2_026_top500_down4
2025-10-28 18:46:20.509,/dev/tty.usbmodem34B7DA61F2202,b2_026_top500_down4
2025-10-28 18:50:42.897,/dev/tty.usbmodem34B7DA61F2202,b2_026_top500_down4
2025-10-28 18:51:53.215,/dev/tty.usbmodem34B7DA61F2202,b2_026_top500_down4
2025-10-28 18:52:09.170,/dev/tty.usbmodem34B7DA61F2202,b2_026_top500_down4
2025-10-28 18:52:37.669,/dev/tty.usbmodem34B7DA61F2202,b2_026_top500_down4
2025-10-28 18:53:28.073,/dev/tty.usbmodem34B7DA61F2202,b2_026_top500_down4
2025-10-28 18:54:28.741,/dev/tty.usbmodem34B7DA61F2202,b2_026_top500_down4
2025-10-28 18:54:54.909,/dev/tty.usbmodem34B7DA61F2202,b2_026_top500_down4
2025-10-28 18:55:35.009,/dev/tty.usbmodem34B7DA61F2202,b2_026_top500_down10
2025-10-28 18:58:55.652,/dev/tty.usbmodem34B7DA61F2202,b2_026_top400_down4
2025-10-28 19:00:15.639,/dev/tty.usbmodem34B7DA61F2202,b2_026_top300_down4
2025-10-28 19:00:35.498,/dev/tty.usbmodem34B7DA61F2202,b2_026_top300_down4
2025-10-28 22:39:38.256,/dev/tty.usbmodem34B7DA61F2202,b2_026_top350_down4
2025-10-28 22:41:25.008,/dev/tty.usbmodem34B7DA61F2202,b2_026_top400_down3
2025-10-29 16:22:39.824,/dev/tty.usbmodem34B7DA61F2202,b2_026_top400_down3
2025-10-29 17:12:28.010,/dev/tty.usbmodem34B7DA61F2202,b2_026_top400_down3
2025-10-29 17:13:21.957,/dev/tty.usbmodem34B7DA61F2202,b2_026_top400_down2
2025-10-29 17:14:05.257,/dev/tty.usbmodem34B7DA61F2202,b2_026_top400_down3
2025-11-01 17:44:24.266,/dev/tty.usbmodem34B7DA61F2202,b2_026_top450_down4
2025-11-01 17:44:38.853,/dev/tty.usbmodem34B7DA61F2202,b2_026_top450_down4
2025-11-01 17:44:55.255,/dev/tty.usbmodem34B7DA61F2202,b2_026_top450_down4
2025-11-01 17:45:20.613,/dev/tty.usbmodem34B7DA61F2202,b2_026_top450_down4
2025-11-26 14:22:38.160,/dev/tty.usbmodem34B7DA6375842,b2_026_top3_down4
2025-11-26 14:40:35.703,/dev/tty.usbmodem34B7DA6375842,b2_026_top3_down4
2025-11-26 14:41:05.851,/dev/tty.usbmodem34B7DA6375842,b2_026_top3_down4
2025-11-26 14:42:17.178,/dev/tty.usbmodem34B7DA6375842,b2_026_top3_down4
2025-11-26 14:43:57.507,/dev/tty.usbmodem34B7DA6375842,b2_026_top3_down4
