time,value,peak
0.00,385,0
0.02,424,0
0.04,477,0
0.06,515,0
0.08,542,1
0.10,538,0
0.12,521,0
0.14,474,0
0.16,438,0
0.18,392,0
0.19,373,0
0.21,353,0
0.23,335,0
0.25,319,0
0.27,301,0
0.29,299,0
0.31,307,0
0.33,320,0
0.35,337,0
0.37,345,0
0.39,352,0
0.41,354,0
0.43,358,0
0.45,352,0
0.47,344,0
0.49,336,0
0.51,334,0
0.53,333,0
0.55,334,0
0.57,338,0
0.59,342,0
0.61,346,0
0.63,356,0
0.65,350,0
0.67,358,0
0.69,367,0
0.71,364,0
0.73,367,0
0.75,368,0
0.77,368,0
0.79,368,0
0.81,359,0
0.83,354,0
0.85,357,0
0.87,361,0
0.89,372,0
0.91,408,0
0.93,465,0
0.95,515,0
0.97,535,0
0.99,544,1
1.01,523,0
1.03,477,0
1.05,435,0
1.07,388,0
1.09,352,0
1.14,310,0
1.16,300,0
1.18,289,0
1.20,288,0
1.22,302,0
1.24,320,0
1.26,336,0
1.28,346,0
1.30,351,1
1.32,351,1
1.34,342,0
1.36,340,0
1.38,330,0
1.40,330,0
1.41,326,0
1.43,325,0
1.45,324,0
1.47,327,0
1.49,334,0
1.51,340,0
1.53,338,0
1.55,346,0
1.57,354,0
1.59,353,0
1.61,352,0
1.63,363,1
1.65,360,0
1.67,360,0
1.69,357,0
1.71,362,0
1.73,359,0
1.75,361,0
1.77,356,0
1.79,357,0
1.81,357,0
1.83,370,0
1.85,409,0
1.87,474,0
1.89,531,0
1.91,577,1
1.93,576,0
1.95,557,0
1.97,520,0
1.99,479,0
2.01,424,0
2.02,393,0
2.04,364,0
2.06,348,0
2.08,330,0
2.10,312,0
2.12,306,0
2.14,297,0
2.16,299,0
2.18,304,0
2.20,315,0
2.22,322,0
2.24,328,0
2.26,328,0
2.28,330,0
2.30,325,0
2.32,321,0
2.34,315,0
2.36,317,0
2.38,310,0
2.40,313,0
2.42,312,0
2.44,320,0
2.46,329,0
2.48,333,0
2.50,333,0
2.52,339,0
2.54,341,0
2.56,348,0
2.58,350,0
2.60,355,0
2.62,348,0
2.64,356,0
2.66,354,0
2.68,354,0
2.70,356,0
2.72,358,0
2.74,349,0
2.76,355,0
2.78,364,0
2.80,399,0
2.82,458,0
2.84,522,0
2.86,574,0
2.88,581,1
2.90,566,0
2.92,532,0
2.94,485,0
2.96,432,0
2.98,391,0
3.03,329,0
3.05,324,0
3.07,310,0
3.09,296,0
3.11,295,0
3.13,299,0
3.15,310,0
3.17,325,0
3.19,327,0
3.21,331,1
3.23,329,0
3.25,328,0
3.27,320,0
3.29,314,0
3.31,314,0
3.33,316,0
3.35,309,0
3.37,315,0
3.39,325,0
3.41,330,0
3.43,329,0
3.45,342,0
3.47,351,0
3.49,353,0
3.51,356,0
3.53,357,0
3.55,355,0
3.57,360,0
3.59,360,0
3.61,350,0
3.63,351,0
3.65,353,0
3.67,369,0
3.69,400,0
3.71,447,0
3.73,499,0
3.75,555,0
3.77,568,1
3.79,552,0
3.81,517,0
3.83,481,0
3.85,429,0
3.87,393,0
3.90,352,0
3.92,340,0
3.94,321,0
3.96,301,0
3.98,295,0
4.00,305,0
4.02,313,0
4.04,323,0
4.06,337,0
4.08,347,0
4.10,344,0
4.12,348,0
4.14,336,0
4.16,329,0
4.18,327,0
4.20,322,0
4.22,322,0
4.24,316,0
4.26,320,0
4.28,323,0
4.30,336,0
4.32,337,0
4.34,345,0
4.36,352,0
4.38,351,0
4.40,351,0
4.42,352,0
4.44,358,0
4.46,361,0
4.48,356,0
4.50,347,0
4.52,350,0
4.54,365,0
4.56,403,0
4.58,465,0
4.60,525,0
4.62,571,0
4.64,587,1
4.66,567,0
4.68,533,0
4.70,476,0
4.72,426,0
4.74,384,0
4.78,328,0
4.80,317,0
4.82,304,0
4.84,292,0
4.86,290,0
4.88,291,0
4.90,303,0
4.92,308,0
4.94,312,0
4.96,324,0
4.98,325,0
5.00,318,0
